request,account,dvr,start_time,end_time,source,received,uploaded,timestamp,is_retry,videos_details
001000007462310101420240925003359000,3-238,0000074623101014,"2024-09-25 00:32","2024-09-25 00:32",Vehicle,2,2,"2024-09-25 00:37:33",0,2
001000007462213200920240924220955000,3-245,0000074622132009,"2024-09-24 20:55","2024-09-24 20:55",Vehicle,1,1,"2024-09-24 22:12:46",0,1
001000007461449532820240924211431000,3-188,0000074614495328,"2024-09-24 21:13","2024-09-24 21:13",Vehicle,2,2,"2024-09-24 21:17:50",0,2
001000007461303726520240924205556000,3-170,0000074613037265,"2024-09-24 20:55","2024-09-24 20:55",Vehicle,2,2,"2024-09-24 20:57:01",0,2
001000007462319104920240918003642000,3-250,0000074623191049,"2024-09-17 19:53","2024-09-17 19:53",Vehicle,21,20,"2024-09-24 19:00:01",0,21
001000007462213200920240924185257000,3-245,0000074622132009,"2024-09-24 18:25","2024-09-24 18:25",Vehicle,1,1,"2024-09-24 18:54:15",0,1
001000007462323203720240924181641000,3-170,0000074623232037,"2024-09-24 18:16","2024-09-24 18:16",Vehicle,2,2,"2024-09-24 18:18:40",0,2
001000007462316110420240923223131000,3-170,0000074623161104,"2024-09-23 13:57","2024-09-23 13:57",Vehicle,26,26,"2024-09-24 15:12:38",0,26
001000007462316538120240924134415000,3-250,0000074623165381,"2024-09-24 13:42","2024-09-24 13:42",Vehicle,2,1,"2024-09-24 13:49:01",0,2
001000007462316538120240924134119000,3-250,0000074623165381,"2024-09-24 13:39","2024-09-24 13:39",Vehicle,2,2,"2024-09-24 13:44:15",0,2
001000007462310507420240923233037000,3-170,0000074623105074,"2024-09-23 23:13","2024-09-23 23:13",Vehicle,103,73,"2024-09-24 12:14:42",0,103
002000007462317331520240923185742841,3-253,0000074623173315,"2024-09-21 07:43","2024-09-21 07:46",API_OFFLINE,3,4,"2024-09-24 11:42:55",1,4
001000007462323304720240924060522000,3-170,0000074623233047,"2024-09-24 06:04","2024-09-24 06:04",Vehicle,3,3,"2024-09-24 06:08:05",0,3
001000007462319210920240924035252000,3-250,0000074623192109,"2024-09-24 03:34","2024-09-24 03:34",Vehicle,26,26,"2024-09-24 03:58:49",0,26
001000007462213204520240923222213000,3-238,0000074622132045,"2024-09-23 22:21","2024-09-23 22:21",Vehicle,3,3,"2024-09-23 22:25:17",0,3
001000007462213410820240923212913000,3-238,0000074622134108,"2024-09-23 21:28","2024-09-23 21:28",Vehicle,2,2,"2024-09-23 21:31:55",0,2
001000007462318513020240923172919000,3-309,0000074623185130,"2024-09-23 17:05","2024-09-23 17:05",Vehicle,24,18,"2024-09-23 20:53:37",0,24
001000007462310507420240923172721000,3-170,0000074623105074,"2024-09-23 17:28","2024-09-23 17:28",Vehicle,193,190,"2024-09-23 20:21:47",0,193
001000007462318303020240923194645000,3-309,0000074623183030,"2024-09-23 19:26","2024-09-23 19:26",Vehicle,23,5,"2024-09-23 19:52:10",0,23
002000007462213415920240923194528091,3-170,0000074622134159,"2024-09-22 12:10","2024-09-22 12:15",API,5,5,"2024-09-23 19:45:37",0,5
002000007462213415920240923194012189,3-170,0000074622134159,"2024-09-22 11:12","2024-09-22 11:17",API,5,3,"2024-09-23 19:40:22",0,5
002000007462213415920240923193412161,3-170,0000074622134159,"2024-09-22 12:12","2024-09-22 12:17",API,5,0,"2024-09-23 19:34:21",0,4
002000007462213415920240923193246299,3-170,0000074622134159,"2024-09-22 12:30","2024-09-22 12:40",API,0,0,"2024-09-23 19:33:00",0,0
002000007462213415920240923192552993,3-170,0000074622134159,"2024-09-22 12:46","2024-09-22 12:47",API,0,0,"2024-09-23 19:25:59",0,0
001000007462319208220240923170919000,3-273,0000074623192082,"2024-09-23 16:16","2024-09-23 16:16",Vehicle,35,35,"2024-09-23 19:21:21",0,35
